fileName,predLabel_vgg,actualLabel_vgg,RealFake_vgg,predLabel_fab
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_0,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_1,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_2,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_3,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_4,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_5,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_6,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_7,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_8,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_9,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_10,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_11,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_12,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_13,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_14,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_15,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_16,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_17,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_18,GG_02,GG_01,fake,GG_02
GG_fake/02_01__outside_talking_still_laughing__YVGY8LOK.npy_19,GG_02,GG_01,fake,GG_02
