fileName,predLabel_vgg,actualLabel_vgg,RealFake_vgg,predLabel_fab
GG_orig/01__kitchen_pan.npy_0,GG_08,GG_01,real,GG_07
GG_orig/01__kitchen_pan.npy_1,GG_16,GG_01,real,FF_509
GG_orig/01__kitchen_pan.npy_2,GG_08,GG_01,real,GG_07
GG_orig/01__kitchen_pan.npy_3,GG_16,GG_01,real,GG_07
GG_orig/01__kitchen_pan.npy_4,GG_08,GG_01,real,GG_07
GG_orig/01__kitchen_pan.npy_5,GG_08,GG_01,real,GG_07
GG_orig/01__kitchen_pan.npy_6,GG_16,GG_01,real,GG_07
GG_orig/01__kitchen_pan.npy_7,GG_16,GG_01,real,FF_509
GG_orig/01__kitchen_pan.npy_8,GG_08,GG_01,real,GG_07
GG_orig/01__kitchen_pan.npy_9,GG_16,GG_01,real,GG_07
GG_orig/01__kitchen_pan.npy_10,FF_945,GG_01,real,FF_509
GG_orig/01__kitchen_pan.npy_11,FF_945,GG_01,real,GG_07
GG_orig/01__kitchen_pan.npy_12,FF_945,GG_01,real,GG_07
GG_orig/01__kitchen_pan.npy_13,GG_16,GG_01,real,FF_509
GG_orig/01__kitchen_pan.npy_14,FF_247,GG_01,real,jen_l
GG_orig/01__kitchen_pan.npy_15,GG_01,GG_01,real,hc_imposter
GG_orig/01__kitchen_pan.npy_16,GG_01,GG_01,real,hc_imposter
GG_orig/01__kitchen_pan.npy_17,GG_01,GG_01,real,hc_imposter
GG_orig/01__kitchen_pan.npy_18,GG_01,GG_01,real,jen_l
GG_orig/01__kitchen_pan.npy_19,GG_01,GG_01,real,jen_l
GG_orig/01__kitchen_pan.npy_20,GG_01,GG_01,real,jen_l
GG_orig/01__kitchen_pan.npy_21,GG_01,GG_01,real,jen_l
GG_orig/01__kitchen_pan.npy_22,GG_01,GG_01,real,steve_b
GG_orig/01__kitchen_pan.npy_23,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_24,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_25,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_26,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_27,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_28,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_29,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_30,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_31,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_32,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_33,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_34,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_35,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_36,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_37,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_38,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_39,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_40,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_41,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_42,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_43,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_44,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_45,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_46,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_47,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_48,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_49,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_50,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_51,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_52,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_53,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_54,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_55,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_56,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_57,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_58,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_59,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_60,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_61,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_62,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_63,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_64,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_65,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_66,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_67,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_68,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_69,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_70,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_71,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_72,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_73,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_74,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_75,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_76,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_77,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_78,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_79,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_80,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_81,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_82,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_83,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_84,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_85,GG_01,GG_01,real,GG_28
GG_orig/01__kitchen_pan.npy_86,GG_01,GG_01,real,GG_28
