fileName,predLabel_vgg,actualLabel_vgg,RealFake_vgg,predLabel_fab
GG_orig/01__kitchen_pan.npy_0,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_1,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_2,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_3,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_4,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_5,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_6,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_7,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_8,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_9,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_10,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_11,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_12,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_13,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_14,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_15,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_16,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_17,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_18,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_19,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_20,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_21,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_22,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_23,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_24,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_25,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_26,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_27,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_28,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_29,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_30,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_31,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_32,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_33,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_34,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_35,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_36,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_37,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_38,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_39,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_40,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_41,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_42,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_43,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_44,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_45,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_46,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_47,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_48,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_49,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_50,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_51,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_52,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_53,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_54,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_55,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_56,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_57,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_58,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_59,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_60,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_61,GG_01,GG_01,real,GG_01
GG_orig/01__kitchen_pan.npy_62,GG_01,GG_01,real,GG_01
