fileName,predLabel_vgg,actualLabel_vgg,RealFake_vgg,predLabel_fab
steve_faceswap/jl_sb.npy_0,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_1,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_2,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_3,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_4,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_5,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_6,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_7,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_8,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_9,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_10,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_11,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_12,FF_523,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_13,FF_807,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_14,FF_807,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_15,FF_807,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_16,FF_523,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_17,FF_523,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_18,FF_523,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_19,FF_523,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_20,FF_523,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_21,FF_523,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_22,FF_523,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_23,FF_807,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_24,FF_807,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_25,FF_807,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_26,FF_807,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_27,FF_523,steve_b,fake,ew_imposter
steve_faceswap/jl_sb.npy_28,FF_682,steve_b,fake,ew_imposter
steve_faceswap/jl_sb.npy_29,FF_682,steve_b,fake,ew_imposter
steve_faceswap/jl_sb.npy_30,FF_682,steve_b,fake,ew_imposter
steve_faceswap/jl_sb.npy_31,FF_523,steve_b,fake,ew_imposter
steve_faceswap/jl_sb.npy_32,FF_807,steve_b,fake,ew_imposter
steve_faceswap/jl_sb.npy_33,FF_523,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_34,FF_523,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_35,FF_807,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_36,FF_807,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_37,FF_807,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_38,FF_003,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_39,FF_003,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_40,FF_003,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_41,FF_003,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_42,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_43,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_44,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_45,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_46,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_47,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_48,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_49,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_50,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_51,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_52,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_53,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_54,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_55,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_56,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_57,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_58,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_59,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_60,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_61,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_62,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_63,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_64,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_65,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_66,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_67,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_68,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_69,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_70,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_71,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_72,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_73,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_74,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_75,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_76,FF_523,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_77,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_78,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_79,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_80,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_81,steve_b,steve_b,fake,GG_28
steve_faceswap/jl_sb.npy_82,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_83,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_84,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_85,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_86,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_87,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_88,steve_b,steve_b,fake,FF_780
steve_faceswap/jl_sb.npy_89,steve_b,steve_b,fake,FF_845
steve_faceswap/jl_sb.npy_90,steve_b,steve_b,fake,FF_845
steve_faceswap/jl_sb.npy_91,steve_b,steve_b,fake,FF_845
steve_faceswap/jl_sb.npy_92,steve_b,steve_b,fake,FF_845
steve_faceswap/jl_sb.npy_93,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_94,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_95,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_96,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_97,steve_b,steve_b,fake,jen_l
steve_faceswap/jl_sb.npy_98,steve_b,steve_b,fake,hc_imposter
