fileName,predLabel_vgg,actualLabel_vgg,RealFake_vgg,predLabel_fab
jennifer_l/pW7TbJJMVak.npy_0,FF_345,jen_l,real,FF_148
jennifer_l/pW7TbJJMVak.npy_1,FF_921,jen_l,real,FF_148
jennifer_l/pW7TbJJMVak.npy_2,FF_921,jen_l,real,FF_148
jennifer_l/pW7TbJJMVak.npy_3,FF_345,jen_l,real,FF_148
jennifer_l/pW7TbJJMVak.npy_4,FF_921,jen_l,real,FF_148
jennifer_l/pW7TbJJMVak.npy_5,FF_921,jen_l,real,FF_148
jennifer_l/pW7TbJJMVak.npy_6,FF_921,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_7,FF_345,jen_l,real,FF_148
jennifer_l/pW7TbJJMVak.npy_8,FF_345,jen_l,real,FF_148
jennifer_l/pW7TbJJMVak.npy_9,FF_345,jen_l,real,FF_148
jennifer_l/pW7TbJJMVak.npy_10,FF_345,jen_l,real,FF_148
jennifer_l/pW7TbJJMVak.npy_11,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_12,jen_l,jen_l,real,FF_780
jennifer_l/pW7TbJJMVak.npy_13,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_14,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_15,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_16,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_17,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_18,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_19,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_20,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_21,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_22,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_23,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_24,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_25,jen_l,jen_l,real,FF_845
jennifer_l/pW7TbJJMVak.npy_26,jen_l,jen_l,real,FF_845
jennifer_l/pW7TbJJMVak.npy_27,jen_l,jen_l,real,FF_383
jennifer_l/pW7TbJJMVak.npy_28,jen_l,jen_l,real,FF_383
jennifer_l/pW7TbJJMVak.npy_29,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_30,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_31,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_32,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_33,jen_l,jen_l,real,jen_l
