fileName,predLabel_vgg,actualLabel_vgg,RealFake_vgg,predLabel_fab
jennifer_l/pW7TbJJMVak.npy_0,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_1,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_2,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_3,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_4,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_5,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_6,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_7,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_8,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_9,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_10,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_11,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_12,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_13,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_14,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_15,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_16,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_17,jen_l,jen_l,real,hc_imposter
jennifer_l/pW7TbJJMVak.npy_18,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_19,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_20,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_21,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_22,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_23,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_24,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_25,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_26,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_27,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_28,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_29,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_30,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_31,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_32,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_33,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_34,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_35,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_36,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_37,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_38,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_39,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_40,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_41,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_42,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_43,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_44,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_45,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_46,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_47,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_48,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_49,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_50,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_51,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_52,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_53,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_54,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_55,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_56,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_57,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_58,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_59,jen_l,jen_l,real,jen_l
jennifer_l/pW7TbJJMVak.npy_60,jen_l,jen_l,real,jen_l
