fileName,predLabel_vgg,actualLabel_vgg,RealFake_vgg,predLabel_fab
bo_faceswap/03_output.npy_0,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_1,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_2,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_3,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_4,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_5,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_6,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_7,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_8,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_9,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_10,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_11,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_12,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_13,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_14,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_15,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_16,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_17,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_18,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_19,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_20,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_21,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_22,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_23,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_24,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_25,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_26,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_27,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_28,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_29,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_30,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_31,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_32,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_33,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_34,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_35,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_36,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_37,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_38,FF_826,bo,fake,bo_imposter
bo_faceswap/03_output.npy_39,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_40,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_41,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_42,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_43,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_44,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_45,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_46,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_47,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_48,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_49,FF_826,bo,fake,bo_imposter
bo_faceswap/03_output.npy_50,FF_826,bo,fake,bo_imposter
bo_faceswap/03_output.npy_51,GG_08,bo,fake,bo_imposter
bo_faceswap/03_output.npy_52,GG_08,bo,fake,bo_imposter
bo_faceswap/03_output.npy_53,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_54,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_55,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_56,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_57,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_58,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_59,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_60,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_61,FF_826,bo,fake,bo_imposter
bo_faceswap/03_output.npy_62,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_63,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_64,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_65,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_66,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_67,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_68,GG_08,bo,fake,bo_imposter
bo_faceswap/03_output.npy_69,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_70,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_71,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_72,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_73,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_74,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_75,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_76,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_77,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_78,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_79,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_80,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_81,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_82,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_83,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_84,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_85,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_86,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_87,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_88,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_89,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_90,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_91,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_92,FF_179,bo,fake,bo_imposter
bo_faceswap/03_output.npy_93,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_94,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_95,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_96,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_97,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_98,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_99,FF_921,bo,fake,bo_imposter
bo_faceswap/03_output.npy_100,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_101,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_102,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_103,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_104,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_105,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_106,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_107,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_108,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_109,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_110,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_111,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_112,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_113,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_114,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_115,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_116,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_117,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_118,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_119,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_120,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_121,FF_697,bo,fake,bo_imposter
bo_faceswap/03_output.npy_122,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_123,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_124,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_125,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_126,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_127,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_128,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_129,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_130,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_131,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_132,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_133,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_134,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_135,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_136,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_137,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_138,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_139,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_140,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_141,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_142,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_143,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_144,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_145,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_146,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_147,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_148,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_149,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_150,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_151,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_152,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_153,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_154,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_155,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_156,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_157,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_158,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_159,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_160,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_161,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_162,FF_568,bo,fake,bo_imposter
bo_faceswap/03_output.npy_163,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_164,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_165,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_166,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_167,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_168,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_169,GG_08,bo,fake,bo_imposter
bo_faceswap/03_output.npy_170,GG_17,bo,fake,bo_imposter
bo_faceswap/03_output.npy_171,GG_17,bo,fake,bo_imposter
bo_faceswap/03_output.npy_172,GG_17,bo,fake,bo_imposter
bo_faceswap/03_output.npy_173,GG_17,bo,fake,bo_imposter
bo_faceswap/03_output.npy_174,GG_17,bo,fake,bo_imposter
bo_faceswap/03_output.npy_175,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_176,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_177,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_178,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_179,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_180,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_181,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_182,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_183,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_184,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_185,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_186,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_187,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_188,FF_552,bo,fake,bo_imposter
bo_faceswap/03_output.npy_189,FF_552,bo,fake,bo_imposter
bo_faceswap/03_output.npy_190,FF_552,bo,fake,bo_imposter
bo_faceswap/03_output.npy_191,FF_183,bo,fake,bo_imposter
bo_faceswap/03_output.npy_192,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_193,FF_183,bo,fake,bo_imposter
bo_faceswap/03_output.npy_194,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_195,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_196,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_197,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_198,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_199,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_200,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_201,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_202,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_203,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_204,bo,bo,fake,bo_imposter
bo_faceswap/03_output.npy_205,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_206,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_207,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_208,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_209,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_210,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_211,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_212,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_213,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_214,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_215,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_216,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_217,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_218,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_219,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_220,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_221,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_222,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_223,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_224,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_225,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_226,bo_imposter,bo,fake,bo_imposter
bo_faceswap/03_output.npy_227,bo_imposter,bo,fake,bo_imposter
