fileName,predLabel_vgg,actualLabel_vgg,RealFake_vgg,predLabel_fab
bo/25GOnaY8ZCY_0.npy_0,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_1,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_2,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_3,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_4,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_5,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_6,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_7,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_8,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_9,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_10,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_11,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_12,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_13,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_14,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_15,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_16,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_17,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_18,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_19,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_20,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_21,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_22,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_23,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_24,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_25,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_26,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_27,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_28,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_29,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_30,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_31,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_32,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_33,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_34,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_35,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_36,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_37,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_38,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_39,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_40,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_41,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_42,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_43,bo,bo,real,bo
bo/25GOnaY8ZCY_0.npy_44,bo,bo,real,bo
